,secID,endDate,ADJUST_NAV
2783,000991.OFCN,2017/4/26,0.963
2784,000991.OFCN,2017/4/27,0.966
2785,000991.OFCN,2017/4/28,0.967
2786,000991.OFCN,2017/5/2,0.964
2787,000991.OFCN,2017/5/3,0.962
2788,000991.OFCN,2017/5/4,0.958
2789,000991.OFCN,2017/5/5,0.953
2790,000991.OFCN,2017/5/8,0.946
2791,000991.OFCN,2017/5/9,0.951
2792,000991.OFCN,2017/5/10,0.946
2793,000991.OFCN,2017/5/11,0.946
2794,000991.OFCN,2017/5/12,0.952
2795,000991.OFCN,2017/5/15,0.954
2796,000991.OFCN,2017/5/16,0.966
2797,000991.OFCN,2017/5/17,0.962
2798,000991.OFCN,2017/5/18,0.963
2799,000991.OFCN,2017/5/19,0.965
2800,000991.OFCN,2017/5/22,0.962
2801,000991.OFCN,2017/5/23,0.956
2802,000991.OFCN,2017/5/24,0.959
2803,000991.OFCN,2017/5/25,0.972
2804,000991.OFCN,2017/5/26,0.973
2805,000991.OFCN,2017/5/31,0.974
2806,000996.OFCN,2017/3/1,0.83
2807,000996.OFCN,2017/3/2,0.826
2808,000996.OFCN,2017/3/3,0.823
2809,000996.OFCN,2017/3/6,0.826
2810,000996.OFCN,2017/3/7,0.822
2811,000996.OFCN,2017/3/8,0.822
2812,000996.OFCN,2017/3/9,0.811
2813,000996.OFCN,2017/3/10,0.81
2814,000996.OFCN,2017/3/13,0.817
2815,000996.OFCN,2017/3/14,0.815
2816,000996.OFCN,2017/3/15,0.814
2817,000996.OFCN,2017/3/16,0.822
2818,000996.OFCN,2017/3/17,0.81
2819,000996.OFCN,2017/3/20,0.808
2820,000996.OFCN,2017/3/21,0.808
2821,000996.OFCN,2017/3/22,0.801
2822,000996.OFCN,2017/3/23,0.804
2823,000996.OFCN,2017/3/24,0.804
2824,000996.OFCN,2017/3/27,0.799
2825,000996.OFCN,2017/3/28,0.797
2826,000996.OFCN,2017/3/29,0.796
2827,000996.OFCN,2017/3/30,0.784
2828,000996.OFCN,2017/3/31,0.789
2829,000996.OFCN,2017/4/5,0.8
2830,000996.OFCN,2017/4/6,0.803
2831,000996.OFCN,2017/4/7,0.807
2832,000996.OFCN,2017/4/10,0.804
2833,000996.OFCN,2017/4/11,0.812
2834,000996.OFCN,2017/4/12,0.808
2835,000996.OFCN,2017/4/13,0.81
2836,000996.OFCN,2017/4/14,0.804
2837,000996.OFCN,2017/4/17,0.794
2838,000996.OFCN,2017/4/18,0.788
2839,000996.OFCN,2017/4/19,0.78
2840,000996.OFCN,2017/4/20,0.775
2841,000996.OFCN,2017/4/21,0.776
2842,000996.OFCN,2017/4/24,0.764
2843,000996.OFCN,2017/4/25,0.766
2844,000996.OFCN,2017/4/26,0.765
2845,000996.OFCN,2017/4/27,0.766
2846,000996.OFCN,2017/4/28,0.764
2847,000996.OFCN,2017/5/2,0.762
2848,000996.OFCN,2017/5/3,0.759
2849,000996.OFCN,2017/5/4,0.759
2850,000996.OFCN,2017/5/5,0.752
2851,000996.OFCN,2017/5/8,0.743
2852,000996.OFCN,2017/5/9,0.745
2853,000996.OFCN,2017/5/10,0.739
2854,000996.OFCN,2017/5/11,0.741
2855,000996.OFCN,2017/5/12,0.746
2856,000996.OFCN,2017/5/15,0.747
2857,000996.OFCN,2017/5/16,0.755
2858,000996.OFCN,2017/5/17,0.751
2859,000996.OFCN,2017/5/18,0.749
2860,000996.OFCN,2017/5/19,0.751
2861,000996.OFCN,2017/5/22,0.748
2862,000996.OFCN,2017/5/23,0.742
2863,000996.OFCN,2017/5/24,0.741
2864,000996.OFCN,2017/5/25,0.75
